id,search_criteria,address,listingUrl,price,beds,baths,area,coord,zestimate,priceReduction,brokerName,crawl_url_result,days_on_market,page_views,listing_agent,year_built,hoa_fees,property_tax,school_ratings,neighborhood_desc,broker,city,state,zip_code
1,https://www.zillow.com/sanfranciscoca/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A122.46726504045411%2C%22east%22%3A122.42529383378907%2C%22south%22%3A37.775941682611226%2C%22north%22%3A37.80500610598571%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A20330%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22sqft%22%3A%7B%22min%22%3A750%2C%22max%22%3A7500%7D%2C%22lot%22%3A%7B%22min%22%3A1000%2C%22max%22%3A4356000%2C%22units%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A15%7D,741 Arguello Blvd San Francisco CA 94118,https://www.zillow.com/homedetails/741ArguelloBlvdSanFranciscoCA94118/15098547_zpid/,1699000 ,5,2,2330.0,37.77663122.45892,1780300.0,,T. Okamoto & Co.,"{""days_on_market"":""4""""page_views"":""2444""""listing_agent"":""Kara T. Okamoto""""year_built"":""1906""""hoa_fees"":""0""""property_tax"":""1987""""school_ratings"":""788""""neighborhood_desc"":""Located in the desirable Inner Richmond district 741 Arguello Blvd is a captivating 5bedroom 2bathroom home spanning over 2300 sq. ft. Built in 1906 this timeless residence boasts soaring ceilings and spacious living areas. As you enter the main level you're welcomed by a generous living room a formal dining room and a wellappointed kitchen. The second level offers 3 comfortable bedrooms and a full bathroom while the attic features 2 additional bedrooms with stunning views. The large backyard is perfect for entertaining and outdoor activities and the property includes 2car parking with potential for expansion on the ground level. Situated close to Golden Gate Park Rossi Community Pool Clement Street's vibrant shops and public transportation this home offers unbeatable convenience.""}",4.0,2444.0,Kara T. Okamoto,1906.0,0.0,1987.0,7 8 8,Located in the desirable Inner Richmond district 741 Arguello Blvd is a captivating 5bedroom 2bathroom home spanning over 2300 sq. ft. Built in 1906 this timeless residence boasts soaring ceilings and spacious living areas. As you enter the main level you're welcomed by a generous living room a formal dining room and a wellappointed kitchen. The second level offers 3 comfortable bedrooms and a full bathroom while the attic features 2 additional bedrooms with stunning views. The large backyard is perfect for entertaining and outdoor activities and the property includes 2car parking with potential for expansion on the ground level. Situated close to Golden Gate Park Rossi Community Pool Clement Street's vibrant shops and public transportation this home offers unbeatable convenience.,Price Perez and Martin,San Francisco,CA,94118
2,https://www.zillow.com/sanfranciscoca/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A122.46726504045411%2C%22east%22%3A122.42529383378907%2C%22south%22%3A37.775941682611226%2C%22north%22%3A37.80500610598571%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A20330%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22sqft%22%3A%7B%22min%22%3A750%2C%22max%22%3A7500%7D%2C%22lot%22%3A%7B%22min%22%3A1000%2C%22max%22%3A4356000%2C%22units%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A15%7D,2380 Union St San Francisco CA 94123,https://www.zillow.com/homedetails/2380UnionStSanFranciscoCA94123/15071811_zpid/,1595000 ,2,3,1439.0,37.796944122.43846,,,Compass,"{""days_on_market"":""15""""page_views"":""4019""""listing_agent"":""Ryan Richard Lenox""""year_built"":""1906""""hoa_fees"":""350""""property_tax"":""21296""""school_ratings"":""5/10 8/10 8/10""""neighborhood_desc"":""Secluded and poetic this Cow Hollow Condo is only half a block to Union Street's famed restaurants and shops an easy stroll to the culinary delights of Chestnut Street and in close proximity to the Presidio.""}",15.0,4019.0,Ryan Richard Lenox,1906.0,350.0,21296.0,5 8 8,Secluded and poetic this Cow Hollow Condo is only half a block to Union Street's famed restaurants and shops an easy stroll to the culinary delights of Chestnut Street and in close proximity to the Presidio.,Hill LLC,San Francisco,CA,94123
3,https://www.zillow.com/sanfranciscoca/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A122.46726504045411%2C%22east%22%3A122.42529383378907%2C%22south%22%3A37.775941682611226%2C%22north%22%3A37.80500610598571%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A20330%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22sqft%22%3A%7B%22min%22%3A750%2C%22max%22%3A7500%7D%2C%22lot%22%3A%7B%22min%22%3A1000%2C%22max%22%3A4356000%2C%22units%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A15%7D,3727 Sacramento St San Francisco CA 94118,https://www.zillow.com/homedetails/3727SacramentoStSanFranciscoCA94118/2071038000_zpid/,1595000 ,3,2,1317.0,37.787045122.454,1667100.0,,Compass,"{""days_on_market"":""4 days""""page_views"":""979""""listing_agent"":""Justin Goldberg DRE #01705028""""year_built"":""1908""""hoa_fees"":""410/mo""""property_tax"":""""""school_ratings"":""9/10 8/10 8/10""""neighborhood_desc"":""Quintessential top floor San Francisco flat exudes charm with period details refreshed modern fixtures and stunning outlooks. This is a spacious threebedroom twobathroom condo. The formal living room has a decorative fireplace and beautiful bay windows with a builtin bench overlooking the treelined Sacramento Street. The formal dining room also has a decorative fireplace a breakfast buffet and box beam ceilings with windows overlooking Laurel Village and Lone Mountain. The dining room opens to the eatin kitchen. In unit laundry 1car deeded parking and a lush manicured shared backyard complete this charming home. HOA solar panels cover common area electricty including EV charging. 3727 Sacramento Street is in the heart of Presidio Heights steps away to some of the best San Francisco restaurants shopping and coffee shops such as Spruce AsQuoted Boichik Bagels Bryan's CalMart Starbucks and more.""}",4.0,979.0,Justin Goldberg DRE #01705028,1908.0,410.0,,9 8 8,Quintessential top floor San Francisco flat exudes charm with period details refreshed modern fixtures and stunning outlooks. This is a spacious threebedroom twobathroom condo. The formal living room has a decorative fireplace and beautiful bay windows with a builtin bench overlooking the treelined Sacramento Street. The formal dining room also has a decorative fireplace a breakfast buffet and box beam ceilings with windows overlooking Laurel Village and Lone Mountain. The dining room opens to the eatin kitchen. In unit laundry 1car deeded parking and a lush manicured shared backyard complete this charming home. HOA solar panels cover common area electricty including EV charging. 3727 Sacramento Street is in the heart of Presidio Heights steps away to some of the best San Francisco restaurants shopping and coffee shops such as Spruce AsQuoted Boichik Bagels Bryan's CalMart Starbucks and more.,Maddox Scott and Bell,San Francisco,CA,94118
4,https://www.zillow.com/sanfranciscoca/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A122.46726504045411%2C%22east%22%3A122.42529383378907%2C%22south%22%3A37.775941682611226%2C%22north%22%3A37.80500610598571%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A20330%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22sqft%22%3A%7B%22min%22%3A750%2C%22max%22%3A7500%7D%2C%22lot%22%3A%7B%22min%22%3A1000%2C%22max%22%3A4356000%2C%22units%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A15%7D,2286 Filbert St San Francisco CA 94123,https://www.zillow.com/homedetails/2286FilbertStSanFranciscoCA94123/15071318_zpid/,1150000 ,2,2,1160.0,37.79804122.43708,1210200.0,,Compass,"{""days_on_market"":""3 days""""page_views"":""1257""""listing_agent"":""Todd D. Montgomery DRE #01875716 Marcus A. Lee DRE #01354869""""year_built"":""1905""""hoa_fees"":""250/mo""""property_tax"":""17556 (2023)""""school_ratings"":""Sherman Elementary School: 6/10 Marina Middle School: 6/10 Galileo High School: 8/10""""neighborhood_desc"":""This renovated Edwardian 2 BD 1.5 BA home brings all the charm of San Francisco's most beloved architectural era into the modern age in a well maintained three unit building. Ideal for hosting gatherings the home features a spacious entertaining era with a woodburning fireplace preserved moldings hardwood floors highcoved ceilings new light fixtures and neighborhood views. A remodeled kitchen offers ample cabinetry stainless steel appliances a bar seating area and access to the backyard. The home also includes a primary bedroom with a large bay window with back garden views and a closet and a second bedroom with a large closet with custom builtins. Across the hall from the bedrooms are a full bathroom with a shower over a tub and a large remodeled powder room with a closet/storage. Also included are deeded storage and inunit laundry. Enjoy access to a back deck and shared back garden with mature trees and a quintessential location close to upscale Cow Hollow shopping and dining options along Union Fillmore and Chestnut Street the Marina Green shuttles & MUNI lines.""}",3.0,1257.0,Todd D. Montgomery DRE #01875716 Marcus A. Lee DRE #01354869,1905.0,250.0,17556.0,6 6 8,This renovated Edwardian 2 BD 1.5 BA home brings all the charm of San Francisco's most beloved architectural era into the modern age in a well maintained three unit building. Ideal for hosting gatherings the home features a spacious entertaining era with a woodburning fireplace preserved moldings hardwood floors highcoved ceilings new light fixtures and neighborhood views. A remodeled kitchen offers ample cabinetry stainless steel appliances a bar seating area and access to the backyard. The home also includes a primary bedroom with a large bay window with back garden views and a closet and a second bedroom with a large closet with custom builtins. Across the hall from the bedrooms are a full bathroom with a shower over a tub and a large remodeled powder room with a closet/storage. Also included are deeded storage and inunit laundry. Enjoy access to a back deck and shared back garden with mature trees and a quintessential location close to upscale Cow Hollow shopping and dining options along Union Fillmore and Chestnut Street the Marina Green shuttles & MUNI lines.,Villarreal and Sons,San Francisco,CA,94123
5,https://www.zillow.com/sanfranciscoca/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A122.46726504045411%2C%22east%22%3A122.42529383378907%2C%22south%22%3A37.775941682611226%2C%22north%22%3A37.80500610598571%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A20330%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22sqft%22%3A%7B%22min%22%3A750%2C%22max%22%3A7500%7D%2C%22lot%22%3A%7B%22min%22%3A1000%2C%22max%22%3A4356000%2C%22units%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A15%7D,720 Presidio Ave #302 San Francisco CA 94115,https://www.zillow.com/homedetails/720PresidioAve302SanFranciscoCA94115/15083279_zpid/,975000 ,2,2,925.0,37.78506122.445946,,,Compass,"{""days_on_market"":""1 day""""page_views"":""825""""listing_agent"":""Peter J. Monti DRE #01412225""""year_built"":""1982""""hoa_fees"":""375/mo""""property_tax"":""11082""""school_ratings"":""5/10 8/10 8/10""""neighborhood_desc"":""720 Presidio Street #302 is a contemporary top floor Lower Pacific Heights condominium in a sixunit elevator building. The home's location at the back of the building provides a serene retreat. Expansive views are framed by the floortoceiling windows in the open plan living room with a gas fireplace and dining area. Sweeping north to south views include a breathtaking panorama of the San Francisco skyline the Financial District's towers the Bay and East Bay hills. Enjoy your morning coffee or afternoon cocktail on the private deck. The remodeled kitchen with an electric cooktop and convection oven will inspire many delicious meals. Two spacious bedrooms including a primary suite with remodeled bath are quiet and bathe in natural light. On a clear day you can see East Bay hills from the second bedroom. The home has two skylights a shared yard onecar parking and a common laundry. The home's desirable location is within walking distance of shops and restaurants of Laurel Village Sacramento Street and the Divisadero Corridor Trader Joe's and Target.""}",1.0,825.0,Peter J. Monti DRE #01412225,1982.0,375.0,11082.0,5 8 8,720 Presidio Street #302 is a contemporary top floor Lower Pacific Heights condominium in a sixunit elevator building. The home's location at the back of the building provides a serene retreat. Expansive views are framed by the floortoceiling windows in the open plan living room with a gas fireplace and dining area. Sweeping north to south views include a breathtaking panorama of the San Francisco skyline the Financial District's towers the Bay and East Bay hills. Enjoy your morning coffee or afternoon cocktail on the private deck. The remodeled kitchen with an electric cooktop and convection oven will inspire many delicious meals. Two spacious bedrooms including a primary suite with remodeled bath are quiet and bathe in natural light. On a clear day you can see East Bay hills from the second bedroom. The home has two skylights a shared yard onecar parking and a common laundry. The home's desirable location is within walking distance of shops and restaurants of Laurel Village Sacramento Street and the Divisadero Corridor Trader Joe's and Target.,Reynolds Pena and Campbell,San Francisco,CA,94115
6,https://www.zillow.com/sanfranciscoca/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A122.46726504045411%2C%22east%22%3A122.42529383378907%2C%22south%22%3A37.775941682611226%2C%22north%22%3A37.80500610598571%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A20330%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22sqft%22%3A%7B%22min%22%3A750%2C%22max%22%3A7500%7D%2C%22lot%22%3A%7B%22min%22%3A1000%2C%22max%22%3A4356000%2C%22units%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A15%7D,2211 Broderick St APT 1 San Francisco CA 94115,https://www.zillow.com/homedetails/2211BroderickStAPT1SanFranciscoCA94115/15081340_zpid/,1359000 ,2,2,1175.0,37.790974122.443054,1447000.0,,KW Advisors,"{""days_on_market"":""3""""page_views"":""913""""listing_agent"":""Michael Minson""""year_built"":""1915""""hoa_fees"":""836""""property_tax"":""12362""""school_ratings"":""5/10 8/10 8/10""""neighborhood_desc"":""Nestled in the heart of Pacific Heights this elegant 2BD/2BA patio residence offers sophisticated urban living modern upgrades and classic period details.""}",3.0,913.0,Michael Minson,1915.0,836.0,12362.0,5 8 8,Nestled in the heart of Pacific Heights this elegant 2BD/2BA patio residence offers sophisticated urban living modern upgrades and classic period details.,Benjamin Page and Harris,San Francisco,CA,94115
7,https://www.zillow.com/sanfranciscoca/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A122.46726504045411%2C%22east%22%3A122.42529383378907%2C%22south%22%3A37.775941682611226%2C%22north%22%3A37.80500610598571%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A20330%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22sqft%22%3A%7B%22min%22%3A750%2C%22max%22%3A7500%7D%2C%22lot%22%3A%7B%22min%22%3A1000%2C%22max%22%3A4356000%2C%22units%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A15%7D,2794 Filbert St San Francisco CA 94123,https://www.zillow.com/homedetails/2794FilbertStSanFranciscoCA94123/59700170_zpid/,2195000 ,2,2,1608.0,37.79697122.44548,2188900.0,,Compass,"{""days_on_market"":""25""""page_views"":""2735""""listing_agent"":""Maximillian D. Armour""""year_built"":""1923""""hoa_fees"":""""""property_tax"":""26681""""school_ratings"":""5/10 8/10 8/10""""neighborhood_desc"":""Welcome to 2794 Filbert Street a beautifully updated corner unit in the heart of Cow Hollow. This 2bedroom 2bath condo features elegant hardwood floors formal living and dining rooms and abundant natural light throughout this residence exudes sophistication. One of the standout features is the toplevel pent room and roof deck offering breathtaking views. Unlike most outdoor spaces in San Francisco this one is designed for yearround enjoyment. With a cozy windprotected pent room you can sip your cocktail while soaking in the views without worrying about the weather. Additional highlights include a spacious garage and thoughtful updates that elevate this home's timeless character.""}",25.0,2735.0,Maximillian D. Armour,1923.0,,26681.0,5 8 8,Welcome to 2794 Filbert Street a beautifully updated corner unit in the heart of Cow Hollow. This 2bedroom 2bath condo features elegant hardwood floors formal living and dining rooms and abundant natural light throughout this residence exudes sophistication. One of the standout features is the toplevel pent room and roof deck offering breathtaking views. Unlike most outdoor spaces in San Francisco this one is designed for yearround enjoyment. With a cozy windprotected pent room you can sip your cocktail while soaking in the views without worrying about the weather. Additional highlights include a spacious garage and thoughtful updates that elevate this home's timeless character.,Lewis Group,San Francisco,CA,94123
8,https://www.zillow.com/sanfranciscoca/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A122.46726504045411%2C%22east%22%3A122.42529383378907%2C%22south%22%3A37.775941682611226%2C%22north%22%3A37.80500610598571%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A20330%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22sqft%22%3A%7B%22min%22%3A750%2C%22max%22%3A7500%7D%2C%22lot%22%3A%7B%22min%22%3A1000%2C%22max%22%3A4356000%2C%22units%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A15%7D,104 Walnut St San Francisco CA 94118,https://www.zillow.com/homedetails/104WalnutStSanFranciscoCA94118/40372180_zpid/,3995000 ,4,4,3190.0,37.79046122.4489,4123400.0,,Compass,"{""days_on_market"":""10""""page_views"":""1519""""listing_agent"":""Nina Hatvany Paul Michael H. Kitchen""""year_built"":""1900""""hoa_fees"":""1247""""property_tax"":""34109""""school_ratings"":""9/10 8/10 8/10""""neighborhood_desc"":""Meticulously remodeled Presidio Heights treasure! Featuring 4 bedrooms 3.5 baths 2 offices and a den/library across 3 levels. The home's spacious living room centers a full view of the Golden Gate Bridge. Adjacent is a stylish dining room with herringbone walnut floors and a powder room revealing handpainted wall coverings and a rose quartz sink. The heart of the home is the stunning kitchen showcasing a striking panda marble island deluxe appliances and a builtin banquette with an adjoining laundry room. Glassenclosed stairs lead up to 2 eastfacing bedrooms a marble bath with shower over tub and a library with chic blue lacquer builtins. The sumptuous primary suite is wellappointed with 2 walkin closets a beautiful view of the Golden Gate Bridge and a luxurious marble bath with a soaking tub separate shower and a double vanity. A private loft overhead reveals a peaceful office/sitting area. The 3rd level is flooded with light and houses a family room with builtin desk a lovely bedroom a marble bath with shower and an office. Off the back stairs is a shared patio offering a seating area BBQ and landscaping. Ideally located steps from the Presidio and a few blocks to shops and dining on Sacramento St. Leased parking on Sacramento Street.""}",10.0,1519.0,Nina Hatvany Paul Michael H. Kitchen,1900.0,1247.0,34109.0,9 8 8,Meticulously remodeled Presidio Heights treasure! Featuring 4 bedrooms 3.5 baths 2 offices and a den/library across 3 levels. The home's spacious living room centers a full view of the Golden Gate Bridge. Adjacent is a stylish dining room with herringbone walnut floors and a powder room revealing handpainted wall coverings and a rose quartz sink. The heart of the home is the stunning kitchen showcasing a striking panda marble island deluxe appliances and a builtin banquette with an adjoining laundry room. Glassenclosed stairs lead up to 2 eastfacing bedrooms a marble bath with shower over tub and a library with chic blue lacquer builtins. The sumptuous primary suite is wellappointed with 2 walkin closets a beautiful view of the Golden Gate Bridge and a luxurious marble bath with a soaking tub separate shower and a double vanity. A private loft overhead reveals a peaceful office/sitting area. The 3rd level is flooded with light and houses a family room with builtin desk a lovely bedroom a marble bath with shower and an office. Off the back stairs is a shared patio offering a seating area BBQ and landscaping. Ideally located steps from the Presidio and a few blocks to shops and dining on Sacramento St. Leased parking on Sacramento Street.,Alvarado-Gibson,San Francisco,CA,94118
9,https://www.zillow.com/sanfranciscoca/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A122.46726504045411%2C%22east%22%3A122.42529383378907%2C%22south%22%3A37.775941682611226%2C%22north%22%3A37.80500610598571%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A20330%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22sqft%22%3A%7B%22min%22%3A750%2C%22max%22%3A7500%7D%2C%22lot%22%3A%7B%22min%22%3A1000%2C%22max%22%3A4356000%2C%22units%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A15%7D,3622 Broderick St APT 3 San Francisco CA 94123,https://www.zillow.com/homedetails/3622BroderickStAPT3SanFranciscoCA94123/15079658_zpid/,1498000 ,2,2,1423.0,37.803898122.44504,1527500.0,,Compass,"{""days_on_market"":""12""""page_views"":""2825""""listing_agent"":""Andreas Ernst""""year_built"":""1984""""hoa_fees"":""375""""property_tax"":""8829""""school_ratings"":{""Cobb Elementary"":""5/10""""Roosevelt Middle"":""8/10""""Galileo High"":""8/10""}""neighborhood_desc"":""Top floor 2 bedroom 2 bath condo with elevator private parking garage and stunning roof deck with views. This charming 3unit building nestled in the heart of the Marina offers a truly unique living experience. Located just steps away from the SF Bay Palace of Fine Arts Crissy Field Marina Green and Chestnut Street this prime location provides endless opportunities for outdoor activities and exploration.""}",12.0,2825.0,Andreas Ernst,1984.0,375.0,8829.0,5 8 8,Top floor 2 bedroom 2 bath condo with elevator private parking garage and stunning roof deck with views. This charming 3unit building nestled in the heart of the Marina offers a truly unique living experience. Located just steps away from the SF Bay Palace of Fine Arts Crissy Field Marina Green and Chestnut Street this prime location provides endless opportunities for outdoor activities and exploration.,Wheeler-Powell,San Francisco,CA,94123
10,https://www.zillow.com/sanfranciscoca/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22isMapVisible%22%3Atrue%2C%22mapBounds%22%3A%7B%22west%22%3A122.46726504045411%2C%22east%22%3A122.42529383378907%2C%22south%22%3A37.775941682611226%2C%22north%22%3A37.80500610598571%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A20330%2C%22regionType%22%3A6%7D%5D%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22sqft%22%3A%7B%22min%22%3A750%2C%22max%22%3A7500%7D%2C%22lot%22%3A%7B%22min%22%3A1000%2C%22max%22%3A4356000%2C%22units%22%3Anull%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A15%7D,3334 Clay St San Francisco CA 94118,https://www.zillow.com/homedetails/3334ClayStSanFranciscoCA94118/2143414544_zpid/,1835000 ,3,3,2150.0,37.789265122.44776,,60000 (Aug 17),Compass,"{""days_on_market"":""136 days""""page_views"":""5443""""listing_agent"":""Deborah Cole DRE #01937272""""year_built"":""1908""""hoa_fees"":""1047/mo""""property_tax"":""""""school_ratings"":""9/10 8/10 8/10""""neighborhood_desc"":""This stunning Craftsman is located on the border of coveted Presidio and Pacific Heights. The exquisite topfloor twolevel flat boasts timeless architectural details and south facing light w/ windows in every room. The spacious entry foyer sets the tone for the refined living experience. The main level includes a formal living room with a charming fireplace. Adjacent is a parlor with a granitetiled designer wall and builtin cabinets for a separate office or media room. Entertain in style in the formal dining room featuring artistic coffered ceilings French glasspaned doors and elegant wainscoting. The upgraded Chef's kitchen includes highend appliances an artistic rendering Carrera marble zinc counters an abundance of cabinets and storage a butler pantry custom lights and a laundry area with bar sink and washer/dryer adding to the functionality and charm of the kitchen. Completing the main level are two spacious bedrooms and a split bath offering comfort and privacy for family and guests alike. Upstairs is the ensuite primary retreat with a walkin closet and City outlook. A walkin attic space provides good storage. Nearby are parks Sacramento Street Laurel Village cafes restaurants and shops. Clay is a 'Slow Street'  97 Walk Score and popular w/cyclists.""}",136.0,5443.0,Deborah Cole DRE #01937272,1908.0,1047.0,,9 8 8,This stunning Craftsman is located on the border of coveted Presidio and Pacific Heights. The exquisite topfloor twolevel flat boasts timeless architectural details and south facing light w/ windows in every room. The spacious entry foyer sets the tone for the refined living experience. The main level includes a formal living room with a charming fireplace. Adjacent is a parlor with a granitetiled designer wall and builtin cabinets for a separate office or media room. Entertain in style in the formal dining room featuring artistic coffered ceilings French glasspaned doors and elegant wainscoting. The upgraded Chef's kitchen includes highend appliances an artistic rendering Carrera marble zinc counters an abundance of cabinets and storage a butler pantry custom lights and a laundry area with bar sink and washer/dryer adding to the functionality and charm of the kitchen. Completing the main level are two spacious bedrooms and a split bath offering comfort and privacy for family and guests alike. Upstairs is the ensuite primary retreat with a walkin closet and City outlook. A walkin attic space provides good storage. Nearby are parks Sacramento Street Laurel Village cafes restaurants and shops. Clay is a 'Slow Street'  97 Walk Score and popular w/cyclists.,Smith and Sons,San Francisco,CA,94118
